,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
264,264,Behran.Oil,55200.0,55198.0,54802.0,55000.0,60678
265,265,Behran.Oil,55000.0,56100.0,54928.0,56100.0,219782
266,266,Behran.Oil,56100.0,57500.0,56078.0,57500.0,36561
267,267,Behran.Oil,57500.0,58010.0,57690.0,58000.0,24440
268,268,Behran.Oil,58000.0,59097.0,57878.0,57878.0,1060858
269,269,Behran.Oil,57878.0,57980.0,56999.0,57000.0,23933
270,270,Behran.Oil,57000.0,57504.0,56999.0,57500.0,10749
271,271,Behran.Oil,57500.0,57502.0,57400.0,57400.0,22198
272,272,Behran.Oil,57400.0,57400.0,57000.0,57000.0,26162
273,273,Behran.Oil,57000.0,57200.0,56500.0,56989.0,9274
274,274,Behran.Oil,56989.0,57500.0,56948.0,57500.0,37195
275,275,Behran.Oil,57500.0,57500.0,57400.0,57400.0,22779
276,276,Behran.Oil,57400.0,57250.0,57189.0,57250.0,14992
277,277,Behran.Oil,57250.0,57299.0,56800.0,56899.0,22195
278,278,Behran.Oil,56899.0,56897.0,56748.0,56748.0,871
279,279,Behran.Oil,56748.0,56724.0,56000.0,56000.0,1767
280,280,Behran.Oil,56000.0,54600.0,54600.0,54600.0,1901
281,281,Behran.Oil,54600.0,53987.0,53400.0,53400.0,8916
282,282,Behran.Oil,53400.0,54100.0,53150.0,54100.0,31276
283,283,Behran.Oil,54100.0,55100.0,54100.0,55100.0,5150
284,284,Behran.Oil,55100.0,55099.0,54970.0,54970.0,3482
285,285,Behran.Oil,54970.0,54950.0,54899.0,54899.0,642
286,286,Behran.Oil,54899.0,54790.0,54477.0,54477.0,8733
287,287,Behran.Oil,54477.0,53945.0,53116.0,53116.0,17811
288,288,Behran.Oil,53116.0,53113.0,51800.0,51800.0,13148
289,289,Behran.Oil,51800.0,51800.0,51790.0,51800.0,3334
290,290,Behran.Oil,51800.0,53095.0,51905.0,53095.0,9785
291,291,Behran.Oil,53095.0,54000.0,53108.0,54000.0,3240
292,292,Behran.Oil,54000.0,54000.0,53999.0,53999.0,664
293,293,Behran.Oil,53999.0,53914.0,53799.0,53799.0,3203
294,294,Behran.Oil,53799.0,53700.0,52980.0,52994.0,6859
295,295,Behran.Oil,52994.0,52974.0,52830.0,52830.0,480
296,296,Behran.Oil,52830.0,52689.0,52100.0,52339.0,13534
297,297,Behran.Oil,52339.0,52327.0,51988.0,51990.0,4403
298,298,Behran.Oil,51990.0,51000.0,51000.0,51000.0,1023
299,299,Behran.Oil,51000.0,50900.0,50510.0,50510.0,3352
300,300,Behran.Oil,50510.0,50400.0,50010.0,50301.0,3540
301,301,Behran.Oil,50301.0,50650.0,50400.0,50648.0,4924
302,302,Behran.Oil,50648.0,50650.0,50639.0,50639.0,2621
303,303,Behran.Oil,50639.0,50639.0,49999.0,49999.0,5174
304,304,Behran.Oil,49999.0,49997.0,49400.0,49400.0,5370
305,305,Behran.Oil,49400.0,49400.0,48749.0,48749.0,8601
306,306,Behran.Oil,48749.0,51000.0,48400.0,51000.0,19189
307,307,Behran.Oil,51000.0,53500.0,51300.0,53500.0,5150
308,308,Behran.Oil,53500.0,52251.0,52247.0,52248.0,10520
309,309,Behran.Oil,52248.0,52230.0,50942.0,50942.0,1726
310,310,Behran.Oil,50942.0,50905.0,50884.0,50884.0,650
311,311,Behran.Oil,50884.0,50000.0,48340.0,50000.0,9008
312,312,Behran.Oil,50000.0,50011.0,50000.0,50011.0,9252
313,313,Behran.Oil,50011.0,50014.0,50011.0,50014.0,1108
314,314,Behran.Oil,50014.0,50015.0,50014.0,50015.0,2081
315,315,Behran.Oil,50015.0,50100.0,50099.0,50099.0,3589
316,316,Behran.Oil,50099.0,51200.0,50300.0,50700.0,23109
317,317,Behran.Oil,50700.0,52500.0,50733.0,51153.0,5785
318,318,Behran.Oil,51153.0,52431.0,51220.0,52431.0,6052
319,319,Behran.Oil,52431.0,53741.0,52443.0,53741.0,6024
320,320,Behran.Oil,53741.0,54200.0,54000.0,54005.0,9483
321,321,Behran.Oil,54005.0,53742.0,52655.0,52655.0,10815
322,322,Behran.Oil,52655.0,52653.0,51350.0,51350.0,4418
323,323,Behran.Oil,51350.0,51300.0,50900.0,50900.0,13745
324,324,Behran.Oil,50900.0,51003.0,50700.0,51003.0,5612
325,325,Behran.Oil,51003.0,51600.0,51003.0,51600.0,7986
326,326,Behran.Oil,51600.0,51605.0,51600.0,51600.0,2712
327,327,Behran.Oil,51600.0,51598.0,51572.0,51577.0,5227
328,328,Behran.Oil,51577.0,51001.0,50560.0,50997.0,14918
329,329,Behran.Oil,50997.0,50993.0,50700.0,50877.0,8438
330,330,Behran.Oil,50877.0,52100.0,50890.0,52095.0,3958
331,331,Behran.Oil,52095.0,52095.0,51470.0,51470.0,18772
332,332,Behran.Oil,51470.0,51460.0,50999.0,51000.0,23109
333,333,Behran.Oil,51000.0,51000.0,49999.0,50000.0,32050
334,334,Behran.Oil,50000.0,50001.0,49500.0,49930.0,19444
335,335,Behran.Oil,49930.0,49500.0,49000.0,49000.0,16465
336,336,Behran.Oil,49000.0,49300.0,48500.0,49003.0,21818
337,337,Behran.Oil,49003.0,49288.0,48491.0,48498.0,22775
338,338,Behran.Oil,48498.0,49070.0,48498.0,49061.0,10733
339,339,Behran.Oil,49061.0,49500.0,49064.0,49489.0,8574
340,340,Behran.Oil,49489.0,49500.0,49000.0,49450.0,18263
341,341,Behran.Oil,49450.0,49200.0,48996.0,49000.0,9113
342,342,Behran.Oil,49000.0,49200.0,48500.0,48989.0,15518
343,343,Behran.Oil,48989.0,48975.0,48500.0,48502.0,3517
344,344,Behran.Oil,48502.0,48512.0,48350.0,48500.0,10368
345,345,Behran.Oil,48500.0,48500.0,48479.0,48500.0,40485
346,346,Behran.Oil,48500.0,48501.0,47800.0,47800.0,22790
347,347,Behran.Oil,47800.0,47700.0,47400.0,47500.0,23019
348,348,Behran.Oil,47500.0,47503.0,47200.0,47200.0,12572
349,349,Behran.Oil,47200.0,47190.0,46300.0,46300.0,13269
350,350,Behran.Oil,46300.0,47000.0,44988.0,47000.0,116475
351,351,Behran.Oil,47000.0,47035.0,44000.0,47035.0,3348
352,352,Behran.Oil,47035.0,47103.0,47006.0,47006.0,6918
353,353,Behran.Oil,47006.0,46000.0,44660.0,44665.0,11319
354,354,Behran.Oil,44665.0,44599.0,42432.0,42432.0,2480
355,355,Behran.Oil,42432.0,43000.0,42187.0,43000.0,45040
356,356,Behran.Oil,43000.0,43300.0,43000.0,43000.0,44135
357,357,Behran.Oil,43000.0,42980.0,40850.0,40850.0,15500
358,358,Behran.Oil,40850.0,42500.0,38808.0,40000.0,32724
359,359,Behran.Oil,40000.0,40080.0,40000.0,40070.0,4820
360,360,Behran.Oil,40070.0,40406.0,40070.0,40404.0,10729
361,361,Behran.Oil,40404.0,40490.0,40000.0,40490.0,25491
362,362,Behran.Oil,40490.0,40490.0,40460.0,40490.0,15631
363,363,Behran.Oil,40490.0,41005.0,40490.0,41005.0,5575
364,364,Behran.Oil,41005.0,41300.0,41006.0,41300.0,17806
365,365,Behran.Oil,41300.0,43010.0,41300.0,43010.0,10295
366,366,Behran.Oil,43010.0,45000.0,43365.0,45000.0,7876
367,367,Behran.Oil,45000.0,45605.0,45000.0,45600.0,24481
