,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
273,273,S*Isf..Oil.Ref.Co.,5339.0,5525.0,5287.0,5461.0,1395616
274,274,S*Isf..Oil.Ref.Co.,5461.0,5630.0,5272.0,5535.0,2242854
275,275,S*Isf..Oil.Ref.Co.,5535.0,5490.0,5342.0,5438.0,898786
276,276,S*Isf..Oil.Ref.Co.,5438.0,5397.0,5300.0,5401.0,587787
277,277,S*Isf..Oil.Ref.Co.,5401.0,5404.0,5320.0,5396.0,261114
278,278,S*Isf..Oil.Ref.Co.,5396.0,5390.0,5220.0,5375.0,340443
279,279,S*Isf..Oil.Ref.Co.,5375.0,5300.0,5230.0,5355.0,280230
280,280,S*Isf..Oil.Ref.Co.,5355.0,5370.0,5238.0,5341.0,279348
281,281,S*Isf..Oil.Ref.Co.,5341.0,5280.0,5230.0,5327.0,286563
282,282,S*Isf..Oil.Ref.Co.,5327.0,5287.0,5160.0,5302.0,316232
283,283,S*Isf..Oil.Ref.Co.,5302.0,5160.0,5117.0,5233.0,649319
284,284,S*Isf..Oil.Ref.Co.,5233.0,5218.0,5123.0,5227.0,117577
285,285,S*Isf..Oil.Ref.Co.,5227.0,5160.0,5130.0,5225.0,48320
286,286,S*Isf..Oil.Ref.Co.,5225.0,4599.0,4440.0,4542.0,1155604
287,287,S*Isf..Oil.Ref.Co.,4542.0,4700.0,4571.0,4597.0,615494
288,288,S*Isf..Oil.Ref.Co.,4597.0,4757.0,4756.0,4621.0,254843
289,289,S*Isf..Oil.Ref.Co.,4621.0,4782.0,4782.0,4660.0,405786
290,290,S*Isf..Oil.Ref.Co.,4660.0,4823.0,4823.0,4665.0,54834
291,291,S*Isf..Oil.Ref.Co.,4665.0,4851.0,4851.0,4669.0,39790
292,292,S*Isf..Oil.Ref.Co.,4669.0,4855.0,4706.0,4828.0,1554879
293,293,S*Isf..Oil.Ref.Co.,4828.0,4740.0,4660.0,4804.0,289218
294,294,S*Isf..Oil.Ref.Co.,4804.0,4790.0,4652.0,4783.0,313656
295,295,S*Isf..Oil.Ref.Co.,4783.0,4684.0,4650.0,4769.0,180683
296,296,S*Isf..Oil.Ref.Co.,4769.0,4700.0,4601.0,4753.0,214780
297,297,S*Isf..Oil.Ref.Co.,4753.0,4700.0,4630.0,4735.0,288136
298,298,S*Isf..Oil.Ref.Co.,4735.0,4699.0,4662.0,4729.0,180670
299,299,S*Isf..Oil.Ref.Co.,4729.0,4848.0,4725.0,4735.0,239137
300,300,S*Isf..Oil.Ref.Co.,4735.0,4545.0,4400.0,4486.0,1374483
301,301,S*Isf..Oil.Ref.Co.,4486.0,4600.0,4350.0,4465.0,1096243
302,302,S*Isf..Oil.Ref.Co.,4465.0,4469.0,4345.0,4432.0,605219
303,303,S*Isf..Oil.Ref.Co.,4432.0,4400.0,4260.0,4381.0,653371
304,304,S*Isf..Oil.Ref.Co.,4381.0,4380.0,4271.0,4351.0,616270
305,305,S*Isf..Oil.Ref.Co.,4351.0,4500.0,4320.0,4375.0,780992
306,306,S*Isf..Oil.Ref.Co.,4375.0,4550.0,4490.0,4516.0,1419621
307,307,S*Isf..Oil.Ref.Co.,4516.0,4630.0,4520.0,4552.0,961221
308,308,S*Isf..Oil.Ref.Co.,4552.0,4653.0,4561.0,4574.0,523298
309,309,S*Isf..Oil.Ref.Co.,4574.0,4619.0,4512.0,4582.0,624496
310,310,S*Isf..Oil.Ref.Co.,4582.0,4765.0,4600.0,4633.0,945106
311,311,S*Isf..Oil.Ref.Co.,4633.0,4818.0,4818.0,4653.0,179847
312,312,S*Isf..Oil.Ref.Co.,4653.0,4839.0,4650.0,4745.0,1076806
313,313,S*Isf..Oil.Ref.Co.,4745.0,4702.0,4556.0,4649.0,983200
314,314,S*Isf..Oil.Ref.Co.,4649.0,4590.0,4465.0,4629.0,225728
315,315,S*Isf..Oil.Ref.Co.,4629.0,4600.0,4481.0,4612.0,375745
316,316,S*Isf..Oil.Ref.Co.,4612.0,4650.0,4500.0,4599.0,573500
